IoWStationId,StationId,Name,CountyCode,CountyName,TownCode,TownName,BasinCode,BasinName,Latitude,Longtiude,AdminName,Measurements,HydroStationType
27fada6c-de68-4179-b61f-5a5ef7473194,3764200RV20050,美福右岸排水門1內水位,10002,臺灣省宜蘭縣,10002010,宜蘭市,256000,蘭陽溪,24.736437,121.768654,宜蘭縣政府水利資源處水利行政科,"[{'IoWPhysicalQuantityId': '6d99b98c-9ac6-4ed7-b896-575a6e9f9ecf', 'TimeStamp': '2023-07-17T09:42:09+08:00', 'Name': '水位', 'FullName': 'water_inner', 'SIUnit': 'm', 'Value': 0.573}]",1
45b6a4c3-8127-4f02-9565-a0ba1eda9bae,2560H019,西門橋,10002,臺灣省宜蘭縣,10002010,宜蘭市,256000,蘭陽溪,24.75795,121.74438,水利署,"[{'IoWPhysicalQuantityId': 'e7bf9ad4-f0db-42f1-93ce-99df47661e0f', 'TimeStamp': '2023-06-30T23:50:00+08:00', 'Name': '水位(檢核後)', 'FullName': '西門橋.水位(檢核後)', 'SIUnit': 'm', 'Value': 4.39}, {'IoWPhysicalQuantityId': 'b56381a9-19bd-49ae-9af3-c0276cbd55d5', 'TimeStamp': '2023-07-17T09:40:00+08:00', 'Name': '水位', 'FullName': '西門橋.水位', 'SIUnit': 'm', 'Value': 4.39}]",1
51a1412b-b3cf-4ab2-aa67-2126e575dec4,3764200RV20062,美福右岸排水門2內水位,10002,臺灣省宜蘭縣,10002010,宜蘭市,256000,蘭陽溪,24.735573,121.77554,宜蘭縣政府水利資源處水利行政科,"[{'IoWPhysicalQuantityId': '88c535cd-e973-40e1-86db-133427432c5f', 'TimeStamp': '2023-07-17T09:44:09+08:00', 'Name': '水位', 'FullName': 'water_inner', 'SIUnit': 'm', 'Value': 0.358}]",1
5ef6777f-8321-4ad4-930b-64976f2b7fe0,3764200RV20023,V分洪道出口,10002,臺灣省宜蘭縣,10002010,宜蘭市,256000,蘭陽溪,24.742844,121.75585,宜蘭縣政府水利資源處水利行政科,"[{'IoWPhysicalQuantityId': 'e1131c50-0aa3-470b-b38b-7fbc6acbd04a', 'TimeStamp': '2023-07-15T18:36:17+08:00', 'Name': '水位', 'FullName': 'water_inner', 'SIUnit': 'm', 'Value': 2.456}]",1
657e5a95-dd4c-4b74-a869-43e99ed01643,3764200RV20043,美福右岸排水門1外水位,10002,臺灣省宜蘭縣,10002010,宜蘭市,256000,蘭陽溪,24.736517,121.76869,宜蘭縣政府水利資源處水利行政科,"[{'IoWPhysicalQuantityId': 'eccb37bc-39cb-43d9-8ec3-00ea2015a574', 'TimeStamp': '2023-07-17T09:51:09+08:00', 'Name': '水位', 'FullName': 'water_inner', 'SIUnit': 'm', 'Value': 0.322}]",1
ae854b0c-524c-4572-8542-8e90e089ead5,2560H006,蘭陽大橋,10002,臺灣省宜蘭縣,10002010,宜蘭市,256000,蘭陽溪,24.716074,121.77188,水利署,"[{'IoWPhysicalQuantityId': '33e0fcf7-4e5d-4765-b195-824be6e2c787', 'TimeStamp': '2023-06-30T23:50:00+08:00', 'Name': '水位(檢核後)', 'FullName': '蘭陽大橋.水位(檢核後)', 'SIUnit': 'm', 'Value': 2.46}, {'IoWPhysicalQuantityId': 'a4749017-fb51-45ab-90ba-dd22adb0ca69', 'TimeStamp': '2023-07-17T09:40:00+08:00', 'Name': '水位', 'FullName': '蘭陽大橋.水位', 'SIUnit': 'm', 'Value': 2.32}]",1
00c66a84-265e-4b36-855c-9814d17e4a9c,3764200RV20010,無尾港舊閘門,10002,臺灣省宜蘭縣,10002030,蘇澳鎮,254000,新城溪,24.615925,121.85563,宜蘭縣政府水利資源處水利行政科,"[{'IoWPhysicalQuantityId': '87126009-b574-4278-9b3f-ca6919dab903', 'TimeStamp': '2023-04-20T16:40:03+08:00', 'Name': '水位', 'FullName': 'water_inner', 'SIUnit': 'm', 'Value': -0.061}]",1
9f580337-cd31-42ef-bbd9-a259cd721206,3764200RV20057,朝陽排水門內水位,10002,臺灣省宜蘭縣,10002030,蘇澳鎮,251000,南澳溪,24.44339,121.80749,宜蘭縣政府水利資源處水利行政科,"[{'IoWPhysicalQuantityId': 'e3f06a15-863c-422d-b90b-d1b434d99839', 'TimeStamp': '2023-07-17T09:51:09+08:00', 'Name': '水位', 'FullName': 'water_inner', 'SIUnit': 'm', 'Value': 0.242}]",1
b6a5b191-21c4-4a64-8e38-604bd7a291d8,3764200RV20009,蘇澳冷泉公園滯洪池,10002,臺灣省宜蘭縣,10002030,蘇澳鎮,253000,蘇澳溪,24.598577,121.84904,宜蘭縣政府水利資源處水利行政科,"[{'IoWPhysicalQuantityId': 'cd60a4d5-9097-421f-b59f-a77066afe76c', 'TimeStamp': '2023-07-15T18:31:16+08:00', 'Name': '水位', 'FullName': 'water_inner', 'SIUnit': 'm', 'Value': 1.417}]",1
f049f5b1-2c39-44a3-9a9b-09fefc33294f,3764200RV20026,R幹線出口,10002,臺灣省宜蘭縣,10002030,蘇澳鎮,253000,蘇澳溪,24.5944,121.8534,宜蘭縣政府水利資源處水利行政科,"[{'IoWPhysicalQuantityId': '3e0f3511-73fb-474f-a8f1-bf8c90ebb68c', 'TimeStamp': '2023-07-17T09:38:16+08:00', 'Name': '水位', 'FullName': 'water_inner', 'SIUnit': 'm', 'Value': 1.812}]",1
